Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Avg-Precision,FPR,FNR,Train Time (s)
Logistic Regression Emb Only(all-mpnet-base-v2),0.807413775999471,0.8662962739295851,0.6032633836578494,0.7112400218156577,0.8687431379882455,0.8456241742282292,0.06032204451952156,0.3967366163421506,4005.739779472351
Logistic Regression Emb+Feat(all-mpnet-base-v2),0.7994444628153831,0.863599475622698,0.5817738340552588,0.6952108146137997,0.8503246847279616,0.8291692246955215,0.05953191837179522,0.41822616594474116,3156.100364923477
Random Forest Emb Only(all-mpnet-base-v2),0.8036440593895704,0.9402974032699564,0.534505235712183,0.6815744315744315,0.8638519005526598,0.8488194728677673,0.021987303490177915,0.465494764287817,236.9847342967987
Random Forest Emb+Feat(all-mpnet-base-v2),0.8061572037961707,0.948708404675054,0.5359350687581479,0.6849403418252177,0.8713914729405927,0.8572522685494254,0.018772307440808652,0.46406493124185205,242.2190821170807
XGBoost Emb Only(all-mpnet-base-v2),0.8207235210475844,0.7721076987799748,0.7718154674292443,0.7719615554480641,0.9070817076733034,0.8846368022187507,0.14759011524943466,0.22818453257075572,23.745968341827393
XGBoost Emb+Feat(all-mpnet-base-v2),0.8373400350517509,0.8155643080266196,0.7576012447958282,0.7855149559605825,0.9155983784360339,0.8959055126766977,0.11099910089093534,0.24239875520417176,23.656934022903442
Logistic Regression Emb Only(all-MiniLM-L6-v2),0.7974273337521908,0.8444803060187676,0.5941797384246604,0.6975561589730931,0.8566786296298099,0.8315766767744444,0.07089338746151541,0.40582026157533957,73.51699805259705
Logistic Regression Emb+Feat(all-MiniLM-L6-v2),0.7950960616381734,0.8441958887545344,0.5871987888473023,0.6926263052159032,0.8531218777915621,0.8284950907196651,0.07021224423071684,0.41280121115269774,1782.9643363952637
Random Forest Emb Only(all-MiniLM-L6-v2),0.7989980490063159,0.9478267570900123,0.517221077421254,0.66924227996191,0.865655478685389,0.8477901551314302,0.018445358690025337,0.48277892257874594,165.12786722183228
Random Forest Emb+Feat(all-MiniLM-L6-v2),0.8035613901656691,0.9534990089952736,0.5260103452626267,0.6779955009892403,0.8754602741094979,0.8595538219556562,0.016619894831485165,0.4739896547373733,168.62929320335388
XGBoost Emb Only(all-MiniLM-L6-v2),0.8226579808868755,0.7743264259593964,0.7747171874342907,0.7745217574101324,0.9064865920390953,0.8834874130101702,0.1462823202463014,0.22528281256570923,11.972760438919067
XGBoost Emb+Feat(all-MiniLM-L6-v2),0.8390595549088985,0.8170858355533481,0.7610076117582741,0.7880503418542874,0.9147829647133823,0.895459282325689,0.11037244911860065,0.2389923882417259,12.335656881332397
TF-IDF + LR (ablation),0.8271221189775471,0.7994605529332435,0.74788679086589,0.7728141839040501,0.9081471807945436,0.8698596439602303,0.12154319810369725,0.25211320913410995,88.79233407974243
DistilBERT fine-tuned,0.815961773750868,0.8894088669950739,0.6074267210563943,0.7218571178690122,0.8877265766283636,0.8638688290069267,0.04893332970056943,0.3925732789436057,2940.72216629982
